date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:41:05	2165/2165	---M-Z	200	added ('OK')	image/svg+xml	etag:%22875-63b55df5-51b0aaaacbe853c4;gz%22	https://marketifythemes.net/tailwind/dizme/assets/img/svg/service/anchor.svg	C:/Users/Major/Documents/CYBER%20DIVISION%20TEAM/e-Commerce/My%20Portfolio/MyPortfolio/marketifythemes.net/tailwind/dizme/assets/img/svg/service/anchor.svg	(from https://marketifythemes.net/tailwind/dizme/index-light.html)
12:41:06	4409/4409	---M--	200	added ('OK')	image/png	etag:%221139-63b55df3-82c7f3b3b88b7111;;;%22	https://marketifythemes.net/tailwind/dizme/assets/img/brushes/service/1.png	C:/Users/Major/Documents/CYBER%20DIVISION%20TEAM/e-Commerce/My%20Portfolio/MyPortfolio/marketifythemes.net/tailwind/dizme/assets/img/brushes/service/1.png	(from https://marketifythemes.net/tailwind/dizme/index-light.html)
12:41:06	4403/4403	---M--	200	added ('OK')	image/png	etag:%221133-63b55df6-d57914ef8101381c;;;%22	https://marketifythemes.net/tailwind/dizme/assets/img/brushes/service/dark/1.png	C:/Users/Major/Documents/CYBER%20DIVISION%20TEAM/e-Commerce/My%20Portfolio/MyPortfolio/marketifythemes.net/tailwind/dizme/assets/img/brushes/service/dark/1.png	(from https://marketifythemes.net/tailwind/dizme/index-light.html)
12:41:07	5458/5458	---M-Z	200	added ('OK')	image/svg+xml	etag:%221552-63b55df5-103b2b11975c7375;gz%22	https://marketifythemes.net/tailwind/dizme/assets/img/svg/service/physics.svg	C:/Users/Major/Documents/CYBER%20DIVISION%20TEAM/e-Commerce/My%20Portfolio/MyPortfolio/marketifythemes.net/tailwind/dizme/assets/img/svg/service/physics.svg	(from https://marketifythemes.net/tailwind/dizme/index-light.html)
12:41:07	4018/4018	---M--	200	added ('OK')	image/png	etag:%22fb2-63b55df3-e7ce3f6fc7c65391;;;%22	https://marketifythemes.net/tailwind/dizme/assets/img/brushes/service/2.png	C:/Users/Major/Documents/CYBER%20DIVISION%20TEAM/e-Commerce/My%20Portfolio/MyPortfolio/marketifythemes.net/tailwind/dizme/assets/img/brushes/service/2.png	(from https://marketifythemes.net/tailwind/dizme/index-light.html)
12:41:08	4450/4450	---M--	200	added ('OK')	image/png	etag:%221162-63b55df6-efe272173e57e4aa;;;%22	https://marketifythemes.net/tailwind/dizme/assets/img/brushes/service/dark/2.png	C:/Users/Major/Documents/CYBER%20DIVISION%20TEAM/e-Commerce/My%20Portfolio/MyPortfolio/marketifythemes.net/tailwind/dizme/assets/img/brushes/service/dark/2.png	(from https://marketifythemes.net/tailwind/dizme/index-light.html)
12:41:08	2729/2729	---M-Z	200	added ('OK')	image/svg+xml	etag:%22aa9-63b55df5-54a408ee0a301ba6;gz%22	https://marketifythemes.net/tailwind/dizme/assets/img/svg/service/contact.svg	C:/Users/Major/Documents/CYBER%20DIVISION%20TEAM/e-Commerce/My%20Portfolio/MyPortfolio/marketifythemes.net/tailwind/dizme/assets/img/svg/service/contact.svg	(from https://marketifythemes.net/tailwind/dizme/index-light.html)
12:41:09	4019/4019	---M--	200	added ('OK')	image/png	etag:%22fb3-63b55df3-351e51211d0bbbb1;;;%22	https://marketifythemes.net/tailwind/dizme/assets/img/brushes/service/3.png	C:/Users/Major/Documents/CYBER%20DIVISION%20TEAM/e-Commerce/My%20Portfolio/MyPortfolio/marketifythemes.net/tailwind/dizme/assets/img/brushes/service/3.png	(from https://marketifythemes.net/tailwind/dizme/index-light.html)
12:41:09	3763/3763	---M--	200	added ('OK')	image/png	etag:%22eb3-63b55df6-b45b9915a3b9e415;;;%22	https://marketifythemes.net/tailwind/dizme/assets/img/brushes/service/dark/3.png	C:/Users/Major/Documents/CYBER%20DIVISION%20TEAM/e-Commerce/My%20Portfolio/MyPortfolio/marketifythemes.net/tailwind/dizme/assets/img/brushes/service/dark/3.png	(from https://marketifythemes.net/tailwind/dizme/index-light.html)
12:41:10	2261/2261	---M-Z	200	added ('OK')	image/svg+xml	etag:%228d5-63b55df5-38b4ff0ffd182975;gz%22	https://marketifythemes.net/tailwind/dizme/assets/img/svg/service/web.svg	C:/Users/Major/Documents/CYBER%20DIVISION%20TEAM/e-Commerce/My%20Portfolio/MyPortfolio/marketifythemes.net/tailwind/dizme/assets/img/svg/service/web.svg	(from https://marketifythemes.net/tailwind/dizme/index-light.html)
12:41:10	4017/4017	---M--	200	added ('OK')	image/png	etag:%22fb1-63b55df3-d66dc8c08220a691;;;%22	https://marketifythemes.net/tailwind/dizme/assets/img/brushes/service/4.png	C:/Users/Major/Documents/CYBER%20DIVISION%20TEAM/e-Commerce/My%20Portfolio/MyPortfolio/marketifythemes.net/tailwind/dizme/assets/img/brushes/service/4.png	(from https://marketifythemes.net/tailwind/dizme/index-light.html)
